name,brand,price,rating,search_input
men pack 3 solid ankle-length socks,Jockey,389,4.4,Socks
men 3 ankle-length socks,ADIDAS,395,4.4,Socks
pack 5 ankle length socks,HRX by Hrithik Roshan,406,4.4,Socks
sport men set 3 crew socks,Jockey,479,4.5,Socks
men pack 3 ankle socks,HRX by Hrithik Roshan,232,4.5,Socks
pack 3 ankle sports socks,HRX by Hrithik Roshan,227,4.4,Socks
pack 4 patterned socks,HRX by Hrithik Roshan,329,4.4,Socks
men pack 3 solid calf-length socks,Supersox,281,4.4,Socks
pack 2 shoe liners,Jockey,239,4.5,Socks
calf length bamboo socks,Dynamocks,279,4.4,Socks
women pack 2 toe socks,Jockey,298,4.6,Socks
men training socks,HRX by Hrithik Roshan,321,4.4,Socks
men  pack 3 solid ankle-length  socks,ADIDAS,391,4.3,Socks
men pack 4 socks,HRX by Hrithik Roshan,323,4.4,Socks
men pack 3 half terry cushion sneaker-length socks,Supersox,263,4.4,Socks
pack 3 ankle sports socks,HRX by Hrithik Roshan,220,4.3,Socks
men training socks,HRX by Hrithik Roshan,254,4.3,Socks
men's pack 3 low cut socks,ADIDAS,424,0.0,Socks
pack 3 ankle length socks,HRX by Hrithik Roshan,287,4.4,Socks
men 3pcs ankle socks,Van Heusen,499,0.0,Socks
pack 3 ankle-length socks,HRX by Hrithik Roshan,286,4.8,Socks
men pack 2 solid ankle-length socks,Jockey,278,4.5,Socks
girls 5-pcs patterned socks,Marks & Spencer,599,0.0,Socks
patterned seasonal lowcut sock,Reebok,224,0.0,Socks
4pcs ankle terry socks,HRX by Hrithik Roshan,329,4.3,Socks
men lifestyle socks,HRX by Hrithik Roshan,321,4.4,Socks
men running socks,HRX by Hrithik Roshan,259,4.3,Socks
pack 2 solid cotton socks,Jockey,228,4.5,Socks
men pack 3 solid ankle-length socks,Peter England,349,4.3,Socks
girls solid calf-length socks,EL REGALO,389,4.4,Socks
unisex pack 3 patterned ankle length socks,ADIDAS,435,4.3,Socks
men pack 3 ankle length,HRX by Hrithik Roshan,263,4.1,Socks
women training socks,HRX by Hrithik Roshan,299,4.5,Socks
girls pack 3 solid cotton   socks,MiArcus,299,4.4,Socks
men pack 3 socks,HRX by Hrithik Roshan,265,4.3,Socks
men pack 3 solid ankle length cotton socks,Jockey,449,4.5,Socks
men 3-pcs patterned socks,BYFORD by Pantaloons,349,0.0,Socks
boys 7-pack socks,H&M,799,4.8,Socks
men pack 3 solid socks,Allen Solly,479,4.6,Socks
pack 3 ankle length socks,ADIDAS,435,4.2,Socks
women solid socks,Supersox,498,4.6,Socks
men pack 3 solid ankle length socks,ADIDAS,474,4.3,Socks
men pack 3 solid ankle-length socks,Allen Solly,425,4.5,Socks
unisex pack 4 socks,HRX by Hrithik Roshan,339,4.3,Socks
women set 3 socks,DressBerry,265,4.5,Socks
men ankle socks,Van Heusen,499,0.0,Socks
3 striped tr midcut socks,Reebok,419,0.0,Socks
pack 2 crew-length socks,AIR GARB,336,4.2,Socks
women lifestyle socks,HRX by Hrithik Roshan,249,4.5,Socks
unisex pack 3 socks,Campus,449,4.6,Socks
pack 3 woolen socks,Alexvyan,459,4.2,Socks
men pack 3 cotton socks,Allen Solly,499,0.0,Socks
women pack 3 shoe liners,J Style,431,4.0,Socks
women set 3 socks,HRX by Hrithik Roshan,223,3.8,Socks
boys pack 5 socks,Marks & Spencer,599,4.7,Socks
men pack 3 ankle socks,ADIDAS,484,4.0,Socks
women pack 3 solid sheer ankle-length thumb socks,N2S NEXT2SKIN,360,4.2,Socks
men 3pc ankle socks,Van Heusen,499,0.0,Socks
women pack 3 socks,Alexvyan,409,4.6,Socks
women pack 5 socks,HRX by Hrithik Roshan,431,3.8,Socks
women pack 2 solid cotton ankle length socks,Jockey,279,4.6,Socks
unisex calf-length socks,DAMENSCH,337,3.6,Socks
men pack 3 shoe liner socks,U.S. Polo Assn.,474,4.4,Socks
pack 4 ankle length socks,Roadster,265,4.2,Socks
pack 3 patterned socks,ADIDAS,484,4.4,Socks
men pack 3 socks,Bonjour,495,4.3,Socks
men 3-pcs shoe-liner socks,Van Heusen,449,0.0,Socks
men pack 2 cotton socks,Jockey,279,4.6,Socks
pack 3 ankle length socks,HRX by Hrithik Roshan,279,4.3,Socks
women set 4 shoeliner socks,DressBerry,299,4.4,Socks
unisex pack 5 socks,HRX by Hrithik Roshan,439,4.5,Socks
unisex solid calf-length socks,Dynamocks,235,4.2,Socks
pack 3 woolen socks,Alexvyan,499,4.5,Socks
women pack 2 ankle socks,Jockey,229,4.7,Socks
men pack 2 cotton ankle-length socks,Jockey,279,4.5,Socks
pack 3 ankle socks,J Style,431,0.0,Socks
women ankle length yoga socks,HRX by Hrithik Roshan,279,4.1,Socks
women pack 3 thumb socks,Supersox,332,0.0,Socks
unisex 2-pcs sneaker socks,Puma,499,4.8,Socks
3-pcs patterned cotton socks,N2S NEXT2SKIN,360,0.0,Socks
women pack 3 ankle socks,J Style,443,0.0,Socks
women pack 3 solid shoe-liners,Heelium,399,0.0,Socks
men pack-3 ankle socks,Allen Solly,449,4.4,Socks
women lifestyle socks,HRX by Hrithik Roshan,299,4.3,Socks
men 6-pcs ankle-length socks,Dollar Socks,299,3.7,Socks
men pack 3 socks,Playboy,439,4.8,Socks
men pack 3 socks,Pepe Jeans,395,3.9,Socks
women pack 2 socks,J Style,323,4.5,Socks
men pack 2 game thrones socks,Balenzia,359,3.6,Socks
men pack 3 socks,Allen Solly,479,4.5,Socks
men pack 3 solid cotton ankle-length socks,Dollar Socks,463,0.0,Socks
unisex pack 3 solid cotton ankle-length socks,FOOTPRINTS,349,0.0,Socks
