name,brand,price,rating,search_input
Men Pack of 3 Solid Ankle-Length Socks,Jockey,389,4.4,Socks
Men 3 Ankle-Length Socks,ADIDAS,395,4.4,Socks
Pack Of 5 Ankle Length Socks,HRX by Hrithik Roshan,406,4.4,Socks
Sport Men Set of 3 Crew Socks,Jockey,479,4.5,Socks
Men Pack 3 Above Ankle Socks,HRX by Hrithik Roshan,232,4.5,Socks
Pack of 3 Ankle Sports Socks,HRX by Hrithik Roshan,227,4.4,Socks
Pack Of 4 Patterned Socks,HRX by Hrithik Roshan,329,4.4,Socks
Men Pack of 3 Solid Calf-Length Socks,Supersox,281,4.4,Socks
Pack of 2 Shoe Liners,Jockey,239,4.5,Socks
Calf Length Bamboo Socks,Dynamocks,279,4.4,Socks
Women Pack Of 2 Toe Socks,Jockey,298,4.6,Socks
Men Training Socks,HRX by Hrithik Roshan,321,4.4,Socks
Men  Pack Of 3 Solid Ankle-Length  Socks,ADIDAS,391,4.3,Socks
Men Pack of 4 Socks,HRX by Hrithik Roshan,323,4.4,Socks
Men Pack of 3 Half Terry Cushion Sneaker-Length Socks,Supersox,263,4.4,Socks
Pack of 3 Ankle Sports Socks,HRX by Hrithik Roshan,220,4.3,Socks
Men Training Socks,HRX by Hrithik Roshan,254,4.3,Socks
Men's Pack of 3 Low Cut Socks,ADIDAS,424,NA,Socks
Pack Of 3 Ankle Length Socks,HRX by Hrithik Roshan,287,4.4,Socks
Men 3Pcs Above Ankle Socks,Van Heusen,499,NA,Socks
Pack Of 3 Ankle-Length Socks,HRX by Hrithik Roshan,286,4.8,Socks
Men Pack Of 2 Solid Ankle-Length Socks,Jockey,278,4.5,Socks
Girls 5-Pcs Patterned Socks,Marks & Spencer,599,NA,Socks
Patterned Seasonal Lowcut Sock,Reebok,224,NA,Socks
4Pcs Above Ankle Terry Socks,HRX by Hrithik Roshan,329,4.3,Socks
Men Lifestyle Socks,HRX by Hrithik Roshan,321,4.4,Socks
Men Running Socks,HRX by Hrithik Roshan,259,4.3,Socks
Pack Of 2 Solid Cotton Socks,Jockey,228,4.5,Socks
Men Pack Of 3 Solid Ankle-Length Socks,Peter England,349,4.3,Socks
Girls Solid Calf-Length Socks,EL REGALO,389,4.4,Socks
Unisex Pack Of 3 Patterned Ankle Length Socks,ADIDAS,435,4.3,Socks
Men Pack Of 3 Ankle Length,HRX by Hrithik Roshan,263,4.1,Socks
Women Training Socks,HRX by Hrithik Roshan,299,4.5,Socks
Girls Pack of 3 Solid Cotton   Socks,MiArcus,299,4.4,Socks
Men Pack of 3 Socks,HRX by Hrithik Roshan,265,4.3,Socks
Men Pack Of 3 Solid Ankle Length Cotton Socks,Jockey,449,4.5,Socks
Men 3-Pcs Patterned Socks,BYFORD by Pantaloons,349,NA,Socks
Boys 7-Pack Socks,H&M,799,4.8,Socks
Men Pack Of 3 Solid Socks,Allen Solly,479,4.6,Socks
Pack of 3 Ankle Length Socks,ADIDAS,435,4.2,Socks
Women Solid Socks,Supersox,498,4.6,Socks
Men Pack of 3 Solid Ankle Length Socks,ADIDAS,474,4.3,Socks
Men Pack Of 3 Solid Ankle-Length Socks,Allen Solly,425,4.5,Socks
Unisex Pack of 4 Socks,HRX by Hrithik Roshan,339,4.3,Socks
Women Set of 3 Socks,DressBerry,265,4.5,Socks
Men Above Ankle Socks,Van Heusen,499,NA,Socks
3 Striped Tr Midcut Socks,Reebok,419,NA,Socks
Pack Of 2 Crew-length Socks,AIR GARB,336,4.2,Socks
Women Lifestyle Socks,HRX by Hrithik Roshan,249,4.5,Socks
Unisex Pack Of 3 Socks,Campus,449,4.6,Socks
Pack Of 3 Woolen Socks,Alexvyan,459,4.2,Socks
Men Pack Of 3 Cotton Socks,Allen Solly,499,NA,Socks
Women Pack Of 3 Shoe Liners,J Style,431,4,Socks
Women Set of 3 Socks,HRX by Hrithik Roshan,223,3.8,Socks
Boys Pack Of 5 Socks,Marks & Spencer,599,4.7,Socks
Men Pack Of 3 Ankle Socks,ADIDAS,484,4,Socks
Women Pack Of 3 Solid Sheer Ankle-Length Thumb Socks,N2S NEXT2SKIN,360,4.2,Socks
Men 3Pc Above Ankle Socks,Van Heusen,499,NA,Socks
Women Pack Of 3 Socks,Alexvyan,409,4.6,Socks
Women Pack of 5 Socks,HRX by Hrithik Roshan,431,3.8,Socks
Women Pack Of 2 Solid Cotton Ankle Length Socks,Jockey,279,4.6,Socks
Unisex Calf-Length Socks,DAMENSCH,337,3.6,Socks
Men Pack Of 3 Shoe Liner Socks,U.S. Polo Assn.,474,4.4,Socks
Pack of 4 Ankle Length Socks,Roadster,265,4.2,Socks
Pack of 3 Patterned Socks,ADIDAS,484,4.4,Socks
Men Pack of 3 Socks,Bonjour,495,4.3,Socks
